# NEM 2010 half-hourly demand
#
# NSW   QLD     SA1     TAS    VIC
7636.34 5588.21 1487.86 1076.93 5120.96
7438.78 5360.19 1417.63 1061.28 4947.31
7210.46 5217.24 1362.49 1048.09 4806.63
6892.97 5045.74 1263.59 1041.08 5114.82
6634.05 4938.03 1208.48 1037.37 5014.00
6422.19 4825.18 1180.03 1031.70 4809.78
6335.01 4768.56 1162.72 1028.32 4679.45
6313.40 4788.45 1144.57 1030.43 4616.79
6358.52 4749.35 1149.99 1035.09 4553.31
6515.13 4777.69 1155.35 1041.30 4629.88
6563.86 4842.14 1188.34 1045.91 4711.20
6936.49 4961.30 1213.81 1060.36 4861.55
7330.78 5131.14 1253.05 1095.52 4967.79
7679.83 5427.12 1302.64 1142.87 5321.97
8129.48 5755.36 1396.72 1180.52 5544.10
8568.02 6118.91 1480.11 1218.06 5656.69
8959.06 6343.26 1525.88 1224.26 5812.72
9258.93 6632.05 1598.56 1200.24 6018.31
9467.04 6760.15 1652.20 1191.54 6160.43
9650.16 6880.56 1688.80 1183.71 6254.76
9790.83 6895.38 1729.66 1129.15 6357.79
9867.45 6926.24 1757.95 1147.50 6443.79
9928.26 7003.79 1786.68 1152.45 6466.42
10023.67 6992.14 1803.83 1162.61 6534.87
10166.40 7034.91 1822.97 1167.01 6611.48
10323.04 7050.85 1866.33 1145.96 6653.01
10459.11 7109.80 1895.83 1130.72 6691.35
10478.15 7174.85 1925.95 1132.46 6709.55
10597.17 7200.04 1951.94 1147.91 6735.70
10649.43 7213.47 1954.17 1135.66 6778.62
10687.29 7170.82 1961.79 1127.28 6800.29
10587.13 7201.26 1967.04 1135.73 6856.46
10549.36 7168.12 1987.04 1136.78 6830.43
10418.99 7129.70 1989.85 1131.80 6791.68
10350.24 7133.49 1987.16 1148.65 6620.41
10088.33 7038.41 1961.44 1175.85 6331.38
9897.28 6999.37 1898.31 1173.07 6160.63
9612.67 6827.89 1850.89 1152.53 5917.92
9417.31 6834.13 1785.56 1137.38 5726.70
9417.14 6863.55 1706.44 1143.67 5557.40
9429.68 6849.01 1613.14 1143.93 5525.67
9223.58 6715.31 1572.28 1166.08 5576.81
8925.22 6594.01 1588.70 1166.74 5471.68
8881.34 6559.36 1560.25 1165.06 5334.37
8692.98 6281.71 1500.52 1141.25 5131.70
8519.32 6079.72 1440.00 1111.82 4992.13
8340.55 5966.02 1414.97 1070.49 4925.89
8112.61 5873.90 1383.31 1050.29 5181.36
7878.93 5640.29 1516.30 1035.51 5042.64
