# "Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046129.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046126.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-016001.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-018106.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-043091.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-036031.epw"
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.26543,2.20244,0.587593,0,2.45281,2.20275
2.56104,2.63645,2.43539,0.0112112,2.61641,2.58999
2.6456,2.73607,2.50445,0.226982,2.66059,2.69009
2.6828,2.77341,2.49283,0,2.67516,2.72401
2.53753,2.75129,1.96996,0.0345812,2.65405,2.56011
2.64732,2.73517,2.24329,0.640034,2.68161,2.60327
2.67496,2.71112,1.81519,0.226857,2.66957,2.70808
2.67944,2.75574,1.1002,0.375574,2.6765,2.7365
2.66674,2.64812,0.341434,0,2.59486,2.68391
2.55527,2.5693,2.24943,0,2.41584,2.50864
2.26072,2.29705,0.867889,0.341146,2.10132,2.24631
0.959671,1.03202,1.43965,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.22966,2.13652,0,0,2.4136,2.2043
2.54208,2.59294,2.17377,0,2.58973,2.57758
2.51564,2.6993,2.25542,0,2.66181,2.71374
2.62499,2.71724,2.12762,0,2.67579,2.74972
2.41914,2.70401,2.05994,0.043772,2.64995,2.6177
2.54337,2.67697,1.95824,0,2.70093,2.69703
2.59417,2.59403,1.85878,0,2.76003,2.74396
2.57608,2.67747,1.73359,0,2.74744,2.7456
2.46775,2.66257,1.81916,0,2.65136,2.67577
2.35265,2.5768,1.47522,0,2.48928,2.48061
2.08185,2.25805,1.9961,0,2.17128,2.22647
0.959687,1.03176,0.212111,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.06643,1.94601,0,0,2.39351,2.15771
2.50377,2.40452,0,2.16443,2.57497,2.58134
2.3529,2.62441,0,2.36789,2.64895,2.66862
2.43426,2.50132,0,1.25174,2.62341,2.73091
2.20253,2.575,0,1.51247,2.60962,2.63867
2.12585,2.62505,0,2.03466,2.65689,2.67054
2.16086,2.64433,0,1.68895,2.71388,2.67265
2.38134,2.46294,0,1.58063,2.69924,2.66859
2.62102,2.4973,0,0.308919,2.58914,2.61005
2.16414,2.37945,0,1.81891,2.44265,2.45498
1.1965,2.17476,0,2.36913,2.07827,2.1828
0.928234,1.0305,0,2.1858,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.69134,1.54861,0.28759,0,2.33505,1.97223
1.62504,2.0412,2.37383,0.123835,2.51531,2.51989
1.79497,2.37904,2.43987,0.0786025,2.5547,2.61147
2.35052,2.06472,2.42884,0,2.29777,2.65585
1.25641,2.26586,2.4751,0,2.45585,2.58769
1.80717,0.291068,2.50706,0.454068,2.58113,2.54994
1.19127,2.07923,2.62009,2.11041,2.55025,2.52702
0.194638,1.68693,2.68511,2.41358,2.49615,2.47748
0.243376,0.211109,2.71327,2.605,2.46866,2.30272
1.13191,2.07918,2.67187,2.65578,2.30934,2.35148
1.26214,0.220336,2.54332,2.53452,2.09295,2.12636
0,0,2.15426,2.28745,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.20387,1.84403,0.521006,0,2.13388,1.6793
2.51122,2.39728,2.60464,2.54337,2.30598,2.19193
2.65694,2.50006,2.72772,2.73262,2.36694,1.98655
2.60334,2.51448,2.69748,2.72614,2.40185,2.30679
2.49225,2.54958,2.70654,2.74239,2.34889,1.97923
2.5337,2.60898,2.67433,2.67283,2.46275,2.13569
2.59025,2.63002,2.73709,2.70347,2.44162,2.1991
2.66832,2.6598,2.74103,2.74928,2.22633,2.16247
2.69029,2.56092,2.78062,2.76444,2.31003,1.65861
2.60436,2.51061,2.70171,2.76021,2.01264,2.33321
2.40189,2.24868,2.54743,2.64125,1.99813,1.89284
1.05379,1.06222,2.11073,2.39456,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.45556,2.0333,0.499261,0,0.193674,1.59646
2.69309,2.53676,2.69214,2.52829,2.13964,2.36394
2.63094,2.70566,2.79987,2.69849,2.37225,2.50643
2.66731,2.67878,2.82002,2.72543,2.33136,2.49609
2.50042,2.69196,2.78384,2.70773,2.29948,2.47969
2.6252,2.63392,2.71361,2.61282,2.39621,2.28069
2.62136,2.64965,2.7397,2.69112,2.42539,2.14057
2.64163,2.69649,2.76895,2.70637,2.38363,1.21105
2.60738,2.62783,2.73674,2.72642,1.89332,1.91685
2.51727,2.59576,2.66402,2.74832,1.84888,1.66506
2.28172,2.32794,2.49687,2.64153,2.03572,0.266565
1.02954,1.0709,2.05739,2.41009,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.26065,2.01465,0.26689,0,2.13294,1.85043
2.63718,2.53725,2.58084,1.65387,2.39753,2.44392
2.49277,2.72012,2.65058,0.556288,2.48636,2.55121
2.63764,2.67041,2.70464,0.45888,2.4156,2.57802
2.63286,2.58742,2.67241,0.59445,2.20392,2.4974
2.62373,2.63753,2.64506,0.362092,2.22698,2.43148
2.6427,2.59568,2.65682,0.993194,2.09809,2.47515
2.63462,2.66661,2.6482,1.95454,2.3132,2.31398
2.65849,2.59996,2.62984,1.94258,2.5357,2.26021
2.52768,2.58999,2.59824,2.50126,2.35791,1.82302
2.26516,2.36536,2.44007,2.4663,1.90053,0.497454
0.986818,1.08319,2.01886,2.28537,0,0.497454
0,0,0,0,0,0.497454
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.25564,1.84006,0.152748,0,2.23458,1.83788
2.61698,2.52656,2.51566,1.71687,2.44254,2.47063
2.48131,2.71412,2.55561,1.5028,2.51976,2.57404
2.54533,2.66537,2.51874,0.94683,2.4638,2.60871
2.4653,2.57143,2.48501,2.23351,2.07227,2.57516
1.95294,2.60804,2.43932,2.12924,1.29871,2.55571
2.64434,2.56279,2.52727,1.35479,1.46852,2.62417
