# "Hourly Energy (kWh) | Location=E:\/BoM2010-086282.epw","Hourly Energy (kWh) | Location=E:\/BoM2010-066037.epw","Hourly Energy (kWh) | Location=E:\/BoM2010-040842.epw","Hourly Energy (kWh) | Location=E:\/BoM2010-070351.epw","Hourly Energy (kWh) | Location=E:\/BoM2010-023034.epw"
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.037748,0.049233,0.033679,0.000000
0.071036,0.102214,0.119770,0.100667,0.060257
0.220608,0.194141,0.225554,0.201612,0.136129
0.463101,0.212475,0.275537,0.261631,0.376567
0.646762,0.244259,0.591892,0.319093,0.577939
0.755557,0.397873,0.646318,0.454840,0.710937
0.819995,0.434928,0.706018,0.712023,0.800852
0.827830,0.549234,0.768017,0.871683,0.838600
0.785141,0.455528,0.667874,0.826327,0.834993
0.689542,0.456415,0.601167,0.677497,0.752522
0.541580,0.398596,0.411627,0.494371,0.618668
0.339743,0.218311,0.203868,0.277551,0.444336
0.113620,0.069362,0.020386,0.062276,0.221928
0.000000,0.000000,0.000000,0.000000,0.022837
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.042874,0.045339,0.045580,0.000000
0.064316,0.123872,0.129375,0.104669,0.059462
0.234469,0.286010,0.312782,0.320415,0.132930
0.461627,0.414890,0.517357,0.532309,0.355190
0.629783,0.474381,0.578980,0.708906,0.583927
0.731058,0.480108,0.520872,0.617896,0.721440
0.780760,0.765355,0.441358,0.309900,0.810400
0.764086,0.705009,0.559163,0.100787,0.838880
0.744593,0.259273,0.684305,0.749128,0.823716
0.617220,0.170364,0.575011,0.543051,0.771492
0.520019,0.194512,0.412772,0.071865,0.631282
0.295847,0.181167,0.202976,0.062779,0.454168
0.120176,0.057479,0.021004,0.066200,0.226010
0.000000,0.000000,0.000000,0.000000,0.020884
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.048090,0.034727,0.041483,0.000000
0.079862,0.108227,0.133946,0.088600,0.050523
0.231330,0.319661,0.297818,0.313501,0.142370
0.466551,0.522177,0.545601,0.542609,0.378256
0.635216,0.675281,0.685636,0.707846,0.549114
0.679434,0.773507,0.767013,0.828925,0.645528
0.739957,0.803374,0.799804,0.879672,0.679621
0.135796,0.742538,0.768949,0.886207,0.778860
0.631549,0.577862,0.697958,0.807834,0.850272
0.365996,0.567252,0.461032,0.681393,0.759276
0.304528,0.395297,0.411817,0.509255,0.632804
0.314228,0.196723,0.202891,0.295837,0.454566
0.134920,0.051436,0.021390,0.069603,0.230005
0.028138,0.000000,0.000000,0.000000,0.023849
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.047045,0.040155,0.045199,0.000000
0.075385,0.105103,0.123553,0.104890,0.045407
0.245514,0.334496,0.343287,0.337621,0.109552
0.504385,0.552110,0.542836,0.461344,0.198987
0.557439,0.497096,0.674581,0.627664,0.526381
0.507346,0.699322,0.752716,0.651444,0.746723
0.652255,0.750644,0.788019,0.658451,0.840597
0.781379,0.822762,0.770230,0.211941,0.852744
0.717139,0.785480,0.657292,0.320278,0.841132
0.289241,0.641777,0.604136,0.412959,0.769850
0.568813,0.474659,0.409229,0.323678,0.638110
0.136499,0.258314,0.187590,0.283072,0.457432
0.118392,0.046533,0.022059,0.072465,0.230852
0.000000,0.000000,0.000000,0.000000,0.024752
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.045382,0.037935,0.039151,0.000000
0.068556,0.103795,0.125516,0.088684,0.048888
0.151104,0.337910,0.364702,0.330521,0.124286
0.378967,0.557140,0.565835,0.583217,0.295727
0.622332,0.704890,0.706348,0.762656,0.594849
0.681934,0.794008,0.804060,0.866204,0.738361
0.821468,0.825050,0.807962,0.930699,0.816140
0.798972,0.802700,0.794225,0.914649,0.852125
0.783381,0.760054,0.720114,0.848234,0.841493
0.684656,0.666293,0.605458,0.702042,0.765507
0.547061,0.483419,0.414842,0.534674,0.636237
0.356244,0.264321,0.216595,0.305224,0.458662
0.132137,0.049484,0.025554,0.058033,0.234026
0.000000,0.000000,0.000000,0.000000,0.025939
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.043198,0.037714,0.037811,0.000000
0.073256,0.101744,0.123913,0.085842,0.058494
0.233101,0.329959,0.355888,0.317434,0.132841
0.451835,0.546271,0.561285,0.559761,0.367728
0.551826,0.694681,0.682426,0.734398,0.565369
0.384445,0.783124,0.776619,0.844555,0.701516
0.594078,0.811654,0.826592,0.897333,0.639965
0.745569,0.808738,0.813004,0.888072,0.807900
0.610627,0.764713,0.749186,0.830178,0.792778
0.578634,0.642931,0.619160,0.699013,0.660820
0.364363,0.469701,0.441278,0.517148,0.541632
0.352356,0.254058,0.221094,0.292381,0.434052
0.123956,0.044783,0.025904,0.068358,0.217685
0.000000,0.000000,0.000000,0.000000,0.035859
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.040811,0.037724,0.037214,0.000000
0.068778,0.103356,0.126054,0.087819,0.035236
0.186757,0.317048,0.348043,0.312450,0.120522
0.459983,0.533833,0.546553,0.554037,0.270945
0.635197,0.681778,0.676439,0.724102,0.223475
0.739506,0.775840,0.774366,0.834217,0.539246
0.791242,0.815088,0.804977,0.876819,0.767626
0.777618,0.812510,0.772686,0.871017,0.688312
0.739231,0.754575,0.549464,0.723242,0.805041
0.593998,0.637862,0.565486,0.407319,0.737100
0.473987,0.465073,0.288658,0.469599,0.607366
0.298349,0.250225,0.168344,0.265246,0.435088
0.100968,0.044600,0.029457,0.068152,0.222797
0.000000,0.000000,0.000000,0.000000,0.025943
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.032487,0.031341,0.034401,0.000000
0.056990,0.108177,0.121216,0.083665,0.048443
0.119447,0.320130,0.295164,0.310026,0.104427
0.154464,0.531919,0.510737,0.551137,0.240487
0.297652,0.680782,0.549086,0.725444,0.272536
0.280139,0.775368,0.322359,0.821216,0.217845
0.310540,0.804585,0.405265,0.872927,0.340360
0.204556,0.785020,0.748385,0.865848,0.253693
0.156276,0.727185,0.293882,0.732332,0.830630
0.182452,0.617718,0.225958,0.651876,0.759935
0.257613,0.323408,0.410939,0.463370,0.632698
0.275406,0.247267,0.208443,0.271685,0.454157
0.150369,0.041812,0.024193,0.065304,0.226039
0.011181,0.000000,0.000000,0.000000,0.024231
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.043713,0.034000,0.032082,0.000000
0.067629,0.108557,0.119457,0.081689,0.047379
0.203311,0.272555,0.330640,0.290754,0.121675
0.480231,0.343100,0.543867,0.533425,0.264988
0.305089,0.426639,0.678691,0.699668,0.453057
0.277702,0.671454,0.767766,0.810995,0.511557
0.548251,0.368419,0.793681,0.840068,0.775080
